employee_id,first_name,last_name,gender,department,job_title,education_level,performance_rating,state,home_city,base_location,hiredate,birthdate,termination_date,overtime,salary,adjusted_salary
SD - 02074,Chandan,Bisoyee,male,Software Development,Mobile App Developer,Master,Meets,Odisha,Rourkela,Pune,04-12-2019,01-12-1969,,Yes,1470837,2350939.460701614
SD - 02075,Naveen,Bhaskar,male,Software Development,Frontend Developer,Master,Partial,Andhra Pradesh,Amaravati,Hyderabad,12-06-2021,26-12-1967,,Yes,1795198,2945426.668178574
CS - 02076,Momo,Dafla,female,Cybersecurity,Security Architect,Master,Meets,Arunachal Pradesh,Itanagar,Bengaluru,15-05-2023,16-11-1971,,No,2909308,4882062.507564441
SD - 02077,Chandana,Mukherjee,female,Software Development,Backend Developer,Master,Exceeds,West Bengal,Kharagpur,Hyderabad,26-10-2019,16-10-1967,,Yes,660567,1105146.358355544
QA - 02078,Imchen,Rimü,male,Quality Assurance & Testing,Manual Tester,Bachelor,Meets,Nagaland,Dimapur,Bengaluru,29-08-2023,14-07-1997,,No,1064959,1405916.0500904915
SD - 02079,Muneer,Malla,male,Software Development,Frontend Developer,Bachelor,Meets,Jammu & Kashmir,Baramulla,Bhubaneswar,25-03-2015,20-05-1973,,Yes,1663013,2228879.4965723767
CS - 02080,Lopamudra,Naik,female,Cybersecurity,Application Security Engineer,Master,Meets,Odisha,Cuttack,Hyderabad,27-05-2023,21-12-1987,,Yes,3171643,5038031.975336201
OP - 02081,Shweta,Parekh,female,Operations,Logistics Coordinator,Diploma,Meets,Gujarat,Surat,Hyderabad,31-10-2020,26-07-1990,,Yes,1470721,1755730.3915124722
DA - 02082,Zubair,Mir,male,Data & Analytics,Data Product Manager,PhD,Meets,Jammu & Kashmir,Jammu,Hyderabad,14-07-2024,12-10-1981,,No,2834915,4961702.57707324
AI - 02083,Sandeep,Thomas,male,AI & Machine Learning,AI Engineer,Bachelor,Meets,Kerala,Kochi,Chennai,18-08-2019,21-02-1992,,No,1571038,2037427.2571429096
SM - 02084,Ranjit,Tripathy,male,Sales & Marketing,SEO Specialist,Diploma,Partial,Odisha,Bhubaneswar,Bengaluru,02-07-2022,18-09-1979,,No,669078,767872.3362167935
QA - 02085,Ritu,Pattnayak,female,Quality Assurance & Testing,QA Engineer,Master,Partial,Odisha,Cuttack,Pune,13-03-2018,23-10-1993,,No,847789,1312564.7074823787
SD - 02086,Kumar,Garg,male,Software Development,Angular Developer,Bachelor,Partial,Madhya Pradesh,Jabalpur,Kolkata,18-04-2022,06-09-1980,,No,663334,905247.6082558255
AI - 02087,Siddharth,Phadke,male,AI & Machine Learning,Computer Vision Engineer,PhD,Exceeds,Maharashtra,Nashik,Bhubaneswar,14-08-2023,24-03-1984,,No,988833,1735945.7321060738
CD - 02088,Juliana,Kamble,female,Cloud & DevOps,Kubernetes Administrator,Bachelor,Meets,Goa,Margao,Pune,28-05-2021,18-11-1998,,No,1198157,1569496.321694064
DA - 02089,Harmandeep,Dhaliwal,male,Data & Analytics,Data Scientist,PhD,Meets,Punjab,Ludhiana,Bengaluru,18-12-2017,20-05-1978,,No,2608194,4740282.98082491
DA - 02090,Kalpana,Rao,female,Data & Analytics,ETL Developer,Master,Exceeds,Madhya Pradesh,Indore,New Delhi,26-06-2023,05-11-1984,,No,1040035,1645522.3578702917
RD - 02091,Paresh,Pandya,male,Research & Development (R&D),Solutions Researcher,Master,Meets,Gujarat,Ahmedabad,Bengaluru,13-07-2024,04-02-1981,,No,1083449,1727266.4045563347
DB - 02092,Santosh,Rajvanshi,male,Databases,SQL Developer,Bachelor,Meets,Madhya Pradesh,Gwalior,Bhubaneswar,06-03-2022,07-08-1974,,No,1531796,2035627.9250281285
SD - 02093,Ranjana,Page,female,Software Development,Frontend Developer,Master,Meets,Maharashtra,Mumbai,Pune,16-06-2024,26-05-1989,,No,1765463,2769867.695225926
UX - 02094,Lalhlupuii,Zorama,female,UI/UX & Design,User Researcher,Master,Partial,Mizoram,Lunglei,Chennai,18-07-2021,11-06-1976,05-12-2024,No,1686308,2765392.367159376
UX - 02095,Mukesh,Mishra,male,UI/UX & Design,Design Systems Specialist,Master,Exceeds,Odisha,Rourkela,Bengaluru,06-04-2021,04-07-1981,,No,754504,1231322.0327367843
SD - 02096,Maring,Marwein,male,Software Development,Backend Developer,Bachelor,Below,Meghalaya,Shillong,Bengaluru,09-08-2022,05-06-1986,,No,788762,1062546.3080881743
PS - 02097,Vinod,Adani,male,Product & Strategy,Business Analyst,Bachelor,Exceeds,Gujarat,Ahmedabad,Kolkata,11-09-2019,09-11-1999,,No,1279322,1666412.018450919
DC - 02098,Amit,Sahu,male,Delivery & Client Services,Client Services Manager,Bachelor,Exceeds,Odisha,Sambalpur,New Delhi,23-10-2021,07-03-1972,,Yes,2086998,2780630.328310234
SM - 02099,Raghavendra,Devangan,male,Sales & Marketing,Content Writer,Bachelor,Meets,Chhattisgarh,Bhilai,Bengaluru,17-02-2017,25-11-1985,,No,2004687,2661160.0739241433
RD - 02100,Bhupendra,Desai,male,Research & Development (R&D),Innovation Engineer,PhD,Exceeds,Gujarat,Surat,New Delhi,04-07-2022,11-04-1962,,No,1312606,2376632.040457874
UX - 02101,Dinesh,Saxena,male,UI/UX & Design,Product Designer,Master,Exceeds,Uttar Pradesh,Kanpur,Kolkata,01-02-2016,04-03-1979,,No,952932,1498469.18558195
SD - 02102,Mohit,Bhowmik,male,Software Development,Principal Engineer,Master,Below,Tripura,Udaipur,New Delhi,08-05-2018,10-08-1997,,Yes,2135467,3228225.6747503313
SD - 02103,Kaberi,Chatterjee,female,Software Development,Full-Stack Developer,Bachelor,Partial,West Bengal,Kolkata,Bengaluru,17-06-2024,15-05-2003,,No,2165744,2765491.5074102716
DB - 02104,Savitri,Patnaik,female,Databases,Data Warehouse Developer,Master,Meets,Odisha,Bhubaneswar,Bhubaneswar,11-12-2017,29-06-1992,,No,2231331,3443405.584006466
AI - 02105,Nandini,George,female,AI & Machine Learning,Computer Vision Engineer,Bachelor,Below,Kerala,Kochi,Bengaluru,03-09-2016,20-12-1964,,Yes,1610525,2249189.0972316097
SM - 02106,Parag,Bhagwat,male,Sales & Marketing,Brand Strategist,Master,Meets,Maharashtra,Nagpur,Pune,10-09-2020,28-02-1970,,No,535153,905501.9999934133
SD - 02107,Avinash,Mishra,male,Software Development,Full-Stack Developer,Bachelor,Star,Odisha,Cuttack,Bengaluru,22-07-2019,21-06-1986,,No,862920,1162597.5050852902
AI - 02108,Vasudha,Moghe,female,AI & Machine Learning,Computer Vision Engineer,PhD,Partial,Maharashtra,Mumbai,Bengaluru,18-05-2019,02-02-1979,,Yes,2241443,4171850.5480191438
CSRV - 02109,Yashpal,Bishtwal,male,Customer Service,Technical Support Engineer,Bachelor,Star,Uttarakhand,Haridwar,Bengaluru,23-06-2021,28-12-1989,,No,495497,641192.6954543107
SD - 02110,Deepak,Soman,male,Software Development,Software Programmer,Bachelor,Meets,Maharashtra,Nashik,Hyderabad,01-08-2017,02-08-1968,11-03-2019,No,1111425,1569650.1364039185
RD - 02111,Ramesh,Rajput,male,Research & Development (R&D),Solutions Researcher,PhD,Partial,Rajasthan,Bharatpur,Hyderabad,15-02-2023,13-06-1980,,No,3038099,5492885.348049135
CS - 02112,Ila,Limaye,female,Cybersecurity,Cloud Security Engineer,Bachelor,Star,Maharashtra,Mumbai,Bengaluru,22-01-2023,03-10-1993,,No,2799301,3606834.434796418
CD - 02113,Jayesh,Panicker,male,Cloud & DevOps,Site Reliability Engineer (SRE),Master,Meets,Kerala,Kochi,Chennai,20-09-2021,10-12-1972,23-06-2022,No,3140232,4988886.030151599
PS - 02114,Hmingthanga,Zama,male,Product & Strategy,Innovation Strategist,PhD,Meets,Mizoram,Lunglei,Pune,15-06-2024,01-06-1973,,No,551799,1017758.6299777072
CD - 02115,Hrishikesh,Soren,male,Cloud & DevOps,Platform Engineer,Bachelor,Meets,Jharkhand,Jamshedpur,Bengaluru,14-03-2022,22-11-2001,,No,772021,974209.2191504784
SM - 02116,Kinjal,Raval,female,Sales & Marketing,Sales Executive,Bachelor,Meets,Gujarat,Ahmedabad,Bhubaneswar,03-11-2015,27-01-1971,,No,505347,675117.816415845
CS - 02117,Rekha,Wagh,female,Cybersecurity,SOC Analyst,Bachelor,Meets,Maharashtra,Nagpur,Chennai,22-11-2020,27-08-1968,,No,708677,953718.9721308039
SD - 02118,Lokesh,Ranade,male,Software Development,Frontend Developer,Bachelor,Partial,Maharashtra,Pune,Bhubaneswar,11-10-2017,20-12-1972,,No,518159,748804.3858586361
AI - 02119,Jhumur,Debbarma,female,AI & Machine Learning,MLOps Engineer,Master,Meets,Tripura,Dharmanagar,Hyderabad,19-02-2022,12-01-1975,,No,1103846,1849969.5240636824
RD - 02120,Anita,Verma,female,Research & Development (R&D),Prototype Developer,Master,Meets,Bihar,Patna,Bengaluru,20-11-2023,16-01-1998,,No,3633176,5434089.379568387
UX - 02121,Bhavesh,Parekh,male,UI/UX & Design,UI Designer,Bachelor,Meets,Gujarat,Vadodara,Bengaluru,24-08-2023,31-08-1980,,No,1623417,2160464.2076541022
UX - 02122,Anthony,Santana,male,UI/UX & Design,UI Designer,Bachelor,Meets,Goa,Margao,Kolkata,16-10-2022,05-06-1975,,No,1632689,2194362.8012418514
CD - 02123,Ankit,Kanabar,male,Cloud & DevOps,Platform Engineer,Bachelor,Meets,Gujarat,Surat,Chennai,03-10-2021,07-10-1977,,Yes,657587,879071.3188075138
CD - 02124,Huidrom,Pangambam,female,Cloud & DevOps,Site Reliability Engineer (SRE),Master,Meets,Manipur,Churachandpur,Hyderabad,26-09-2022,08-06-1970,,No,1246317,2018065.096931295
QA - 02125,Varsha,Gadgil,female,Quality Assurance & Testing,Manual Tester,Bachelor,Meets,Maharashtra,Nagpur,Bengaluru,06-02-2022,28-10-1981,,Yes,1122569,1477091.0588099563
PS - 02126,Richa,Sodhi,female,Product & Strategy,Product Owner,Bachelor,Exceeds,Delhi,New Delhi,Bhubaneswar,14-09-2022,19-04-1997,,No,2342881,3027706.653673018
AI - 02127,Naveed,Jafri,male,AI & Machine Learning,Computer Vision Engineer,PhD,Meets,Telangana,Hyderabad,Bengaluru,03-10-2023,05-02-1985,,Yes,3287454,5815065.269790626
HR - 02128,Shashi,Bajpai,female,HR & People Ops,Recruiter,Master,Meets,Uttar Pradesh,Varanasi,Bengaluru,05-10-2015,02-03-1963,,No,694464,1138685.4626870232
CD - 02129,Rajeev,Bhasin,male,Cloud & DevOps,Cloud Administrator,Bachelor,Exceeds,Delhi,New Delhi,Pune,07-04-2022,13-09-1981,,No,519981,720922.3208009067
SD - 02130,Sanjay,Gadkari,male,Software Development,Angular Developer,Master,Exceeds,Maharashtra,Nashik,Bengaluru,30-11-2024,26-01-1998,,Yes,1011977,1558923.1680871267
CD - 02131,Rajesh,Rao,male,Cloud & DevOps,Platform Engineer,Master,Meets,Karnataka,Hubli,Hyderabad,01-02-2022,17-02-1998,,No,2243399,3414035.893158978
SD - 02132,Kharshiing,Mukhim,male,Software Development,Software Architect,Master,Meets,Meghalaya,Jowai,Hyderabad,07-06-2024,03-11-1981,23-06-2025,No,1191264,1854164.3028694587
UX - 02133,Sharada,Murthy,female,UI/UX & Design,Interaction Designer,Master,Meets,Andhra Pradesh,Amaravati,Hyderabad,06-11-2024,30-06-1985,,No,691136,1045248.9340354559
PS - 02134,Meena,Oraon,female,Product & Strategy,Business Analyst,Master,Meets,Jharkhand,Dhanbad,Pune,06-12-2022,10-10-1994,,No,3295117,4971635.367672577
FN - 02135,Radha,Mahar,female,Finance,Investment Analyst,PhD,Partial,Uttarakhand,Rishikesh,New Delhi,02-11-2019,02-07-1974,,Yes,672926,1192155.7842659731
SD - 02136,Vikrant,Kale,male,Software Development,Full-Stack Developer,Bachelor,Star,Maharashtra,Nashik,Bengaluru,03-12-2022,06-03-1977,,Yes,1817481,2473966.5414534323
FN - 02137,Anjali,Hussain,female,Finance,Financial Analyst,Master,Meets,Telangana,Hyderabad,Hyderabad,31-12-2016,07-02-1967,,Yes,1994442,3232607.9657211066
CS - 02138,Mohan,Waghmare,male,Cybersecurity,Chief Information Security Officer (CISO),Master,Meets,Maharashtra,Nagpur,Hyderabad,18-06-2021,04-10-1986,,No,2801851,4271518.03053172
SD - 02139,Kalyani,Talukdar,female,Software Development,Embedded Systems Engineer,Bachelor,Exceeds,Tripura,Udaipur,Pune,21-02-2023,06-05-1968,,No,1533865,2156179.6718022004
SD - 02140,Kamla,Manral,female,Software Development,Software Engineer,Master,Meets,Uttarakhand,Nainital,Bengaluru,19-10-2021,28-05-1995,,No,423998,661472.5967093055
SD - 02141,Ajay,Lakhani,male,Software Development,Backend Developer,Bachelor,Exceeds,Gujarat,Ahmedabad,Pune,21-09-2022,20-07-1993,,No,2583437,3376110.616307554
CS - 02142,Nirmala,Rawat,female,Cybersecurity,Application Security Engineer,Bachelor,Meets,Uttarakhand,Nainital,Bengaluru,04-10-2024,29-08-1993,,No,926901,1244214.1393756813
IT - 02143,Shobha,Jat,female,IT Support,Network Engineer,Master,Exceeds,Rajasthan,Bikaner,Bengaluru,18-02-2017,07-02-1981,29-06-2022,Yes,357312,560074.4983951845
SM - 02144,Omprakash,Bishnoi,male,Sales & Marketing,Brand Strategist,Master,Meets,Haryana,Kurukshetra,Bengaluru,01-12-2022,29-12-1975,,No,1030460,1717296.8949796914
UX - 02145,Dipti,Acharya,female,UI/UX & Design,Design Systems Specialist,Bachelor,Star,Gujarat,Ahmedabad,Bengaluru,30-04-2017,08-03-1968,,No,432532,626346.398251245
AI - 02146,Rajni,Thakur,female,AI & Machine Learning,ML Engineer,PhD,Exceeds,Chhattisgarh,Bhilai,Bengaluru,22-11-2024,21-08-1981,,No,3570944,6399028.564270884
CSRV - 02147,Meku,Zhimomi,female,Customer Service,Customer Success Engineer,Master,Meets,Nagaland,Kohima,Hyderabad,15-01-2017,27-05-1980,,Yes,429284,692893.8705633451
RD - 02148,Pardeep,Dalal,male,Research & Development (R&D),R&D Engineer,PhD,Partial,Haryana,Panchkula,Hyderabad,28-12-2023,26-05-1986,,No,1945631,3422964.887129745
DC - 02149,Sarita,Kanwar,female,Delivery & Client Services,Client Services Manager,PhD,Below,Himachal Pradesh,Dharamshala,Bengaluru,19-04-2022,31-12-1991,,No,1738245,3093116.195805616
PS - 02150,Sushma,Apte,female,Product & Strategy,Product Owner,PhD,Meets,Maharashtra,Mumbai,Pune,07-11-2024,18-08-1966,,No,2505313,4884831.802217481
AI - 02151,Suresh,Naik,male,AI & Machine Learning,MLOps Engineer,Bachelor,Meets,Goa,Panaji,Pune,08-11-2024,12-10-2000,,Yes,938243,1219140.6886171922
DB - 02152,Rohit,Fernandes,male,Databases,SQL Developer,Master,Exceeds,Goa,Panaji,Pune,02-12-2023,01-11-1991,,No,2742895,4233290.51236318
QA - 02153,Marwein,Nongrum,male,Quality Assurance & Testing,Performance Tester,Master,Exceeds,Meghalaya,Tura,Bhubaneswar,17-07-2020,25-03-1979,30-09-2021,Yes,1032318,1699463.3276250425
QA - 02154,Vaishali,Bapat,female,Quality Assurance & Testing,Performance Tester,Master,Meets,Maharashtra,Nashik,Bengaluru,19-06-2018,27-04-1992,,Yes,422496,659519.0579452477
AI - 02155,Harsh,Patel,male,AI & Machine Learning,Prompt Engineer,Bachelor,Meets,Chhattisgarh,Raipur,Bengaluru,23-12-2020,20-01-1963,,No,1049858,1521109.4692694882
SD - 02156,Naveen,Manickam,male,Software Development,Embedded Systems Engineer,Bachelor,Partial,Tamilnadu,Tiruchirappalli,Chennai,09-01-2020,29-08-1999,,Yes,1395131,1779697.3126619882
RD - 02157,Prem,Mishra,female,Research & Development (R&D),Prototype Developer,Master,Partial,Bihar,Patna,Pune,07-12-2024,07-03-1969,,No,1086898,1780014.6628279702
DA - 02158,Kusumita,Jena,female,Data & Analytics,Analytics Consultant,PhD,Meets,Odisha,Cuttack,Bengaluru,11-12-2023,06-02-1977,,No,2838334,5161765.659213525
DC - 02159,Bimal,Majumder,male,Delivery & Client Services,Service Delivery Lead,Bachelor,Meets,Tripura,Udaipur,Bengaluru,08-04-2023,18-01-1966,,Yes,1409727,1902036.7770849331
SM - 02160,Radha,Chacko,female,Sales & Marketing,Digital Marketer,Master,Meets,Kerala,Palakkad,Bhubaneswar,27-04-2015,26-09-1958,14-12-2021,No,1861216,3195671.890115921
SD - 02161,Aarav,Nanda,male,Software Development,React.js Developer,Master,Star,Odisha,Bhubaneswar,New Delhi,03-09-2019,09-09-1982,,Yes,2707508,4258748.858764884
SD - 02162,Amrita,Mukherjee,female,Software Development,Embedded Systems Engineer,Master,Meets,West Bengal,Kharagpur,Bengaluru,07-01-2022,07-05-1987,,No,1472956,2252249.8916930943
SD - 02163,Shashi,Mahapatra,female,Software Development,Software Engineer,Master,Star,Odisha,Rourkela,Hyderabad,10-01-2016,01-02-1971,,Yes,911531,1446274.4920468784
CD - 02164,Anindita,Chakrabarti,female,Cloud & DevOps,Site Reliability Engineer (SRE),Bachelor,Meets,West Bengal,Kharagpur,Hyderabad,22-03-2023,20-04-1968,,No,3404341,4767132.045608414
DA - 02165,Devender,Pathania,male,Data & Analytics,Analytics Consultant,PhD,Meets,Himachal Pradesh,Mandi,Chennai,19-09-2023,16-08-1980,,No,1956360,3643836.6366166966
CD - 02166,Anagha,Kelkar,female,Cloud & DevOps,Cloud Engineer,Bachelor,Meets,Maharashtra,Pune,Bengaluru,08-10-2016,26-11-1971,,No,2498801,3387868.6427511596
QA - 02167,Suchismita,Dalai,female,Quality Assurance & Testing,Automation Tester,Master,Partial,Odisha,Bhubaneswar,Bengaluru,21-02-2023,08-12-1971,,No,1787788,2776334.9461609237
DB - 02168,Naveen,Harish,male,Databases,Database Reliability Engineer,Bachelor,Exceeds,Andhra Pradesh,Visakhapatnam,Hyderabad,12-02-2022,11-09-1972,,No,844776,1200046.9501320466
SD - 02169,Sunil,Singh,male,Software Development,Frontend Developer,Bachelor,Star,Madhya Pradesh,Indore,Hyderabad,20-05-2024,06-10-1996,,No,1726239,2216683.73406434
CS - 02170,Chandrashekhar,Mishra,male,Cybersecurity,Cloud Security Engineer,Master,Star,Bihar,Patna,Bhubaneswar,15-12-2024,07-06-1967,,No,1279768,2010975.7050790123
DB - 02171,Shantanu,Upadhye,male,Databases,Data Warehouse Developer,Master,Meets,Maharashtra,Nashik,Hyderabad,10-05-2022,25-08-1966,,No,2133001,3490570.1384701445
UX - 02172,Alok,Yadav,male,UI/UX & Design,Interaction Designer,Bachelor,Below,Bihar,Patna,Bengaluru,24-01-2023,22-11-2002,01-05-2024,No,1647194,2090596.8482531367
CSRV - 02173,Santosh,Tiwari,male,Customer Service,Customer Support Engineer,Master,Meets,Chhattisgarh,Bhilai,Bengaluru,22-06-2023,04-05-1988,,Yes,525714,820525.0552199035
CS - 02174,Kamaldeep,Cheema,female,Cybersecurity,Penetration Tester,Bachelor,Exceeds,Punjab,Amritsar,Hyderabad,10-05-2021,23-01-1969,,No,2471402,3325130.2080944376
CS - 02175,Aarav,Phadke,male,Cybersecurity,SOC Analyst,Bachelor,Exceeds,Maharashtra,Mumbai,Hyderabad,25-08-2018,10-11-1996,,No,2444398,3137666.448957487
DB - 02176,Chitrani,Moharana,female,Databases,Database Reliability Engineer,Master,Meets,Odisha,Sambalpur,Kolkata,02-11-2019,09-01-1964,,Yes,824047,1407404.7639420137
DC - 02177,Deepanwita,Mukherjee,female,Delivery & Client Services,Client Services Manager,PhD,Meets,West Bengal,Kharagpur,Pune,06-10-2019,04-09-1971,07-11-2020,Yes,2186794,4154513.938298452
AI - 02178,Shilpa,Kumar,female,AI & Machine Learning,Deep Learning Engineer,Master,Meets,Kerala,Kozhikode,Bhubaneswar,17-02-2023,12-08-1976,,No,2590740,4002699.764771256
FN - 02179,Geeta,Bishtwal,female,Finance,Internal Auditor,Bachelor,Meets,Uttarakhand,Haridwar,Hyderabad,26-07-2018,27-01-1969,,No,1736652,2366400.1794383167
DC - 02180,Charu,Grewal,female,Delivery & Client Services,Engagement Manager,Bachelor,Exceeds,Delhi,New Delhi,Hyderabad,04-05-2023,27-10-1987,,Yes,976753,1261247.7394817749
AI - 02181,Ayesha,Siddiqui,female,AI & Machine Learning,NLP Scientist,PhD,Exceeds,Telangana,Hyderabad,Bengaluru,28-06-2023,06-05-1977,,No,2436009,4516487.904948459
PS - 02182,Smit,Vora,male,Product & Strategy,Strategy Consultant,Master,Meets,Gujarat,Surat,Bhubaneswar,27-02-2021,22-06-1976,,No,3063179,4839457.04718237
PS - 02183,Augustine,Monteiro,male,Product & Strategy,Product Owner,Master,Partial,Goa,Margao,Bengaluru,15-04-2019,05-09-1969,,Yes,3189201,5262913.154526903
AI - 02184,Anjali,Shetty,female,AI & Machine Learning,MLOps Engineer,Master,Below,Karnataka,Bengaluru,Pune,05-04-2018,19-06-1985,,No,834727,1326957.512997167
DC - 02185,Ankit,Ray,male,Delivery & Client Services,Delivery Manager,PhD,Star,Odisha,Rourkela,Pune,11-08-2015,19-02-1953,,No,2291903,4621923.136975886
FN - 02186,Shraddha,Pandya,female,Finance,Financial Analyst,Master,Meets,Gujarat,Surat,Kolkata,16-08-2021,13-10-1992,,No,492287,746813.2983738906
SD - 02187,Savita,Sarkar,female,Software Development,Software Engineer,Bachelor,Meets,Maharashtra,Mumbai,New Delhi,31-03-2022,26-06-1970,,Yes,2340440,3300880.381040464
FN - 02188,Pankaj,Samal,male,Finance,Investment Analyst,PhD,Star,Odisha,Rourkela,Kolkata,01-02-2017,15-01-1968,,No,1835738,3516832.967991228
SD - 02189,Rahul,Nag,male,Software Development,React.js Developer,Bachelor,Exceeds,Jharkhand,Dhanbad,Pune,15-05-2022,13-03-1998,,No,836848,1096766.0172661971
DB - 02190,Divya,Daniel,female,Databases,Database Reliability Engineer,Bachelor,Exceeds,Kerala,Kochi,Bengaluru,24-04-2016,08-05-1962,,No,2627862,3653539.8944918085
CD - 02191,Maya,Kumar,female,Cloud & DevOps,Platform Engineer,Bachelor,Meets,Kerala,Kozhikode,Chennai,26-02-2019,19-05-1965,,No,1784691,2553977.701348901
IT - 02192,Santosh,Sane,male,IT Support,System Administrator,Master,Meets,Maharashtra,Nashik,Bengaluru,15-03-2023,23-08-1977,,No,1155096,1869281.6573535479
CS - 02193,Harleen,Bath,female,Cybersecurity,Security Engineer,Bachelor,Partial,Punjab,Amritsar,Bengaluru,06-01-2019,28-07-1991,,Yes,2125137,2741326.3012868143
IT - 02194,Kusumita,Samal,female,IT Support,IT Asset Manager,Master,Below,Odisha,Rourkela,Bengaluru,11-07-2019,06-02-1983,,Yes,333314,543349.6190281581
SD - 02195,Mukesh,Tripathy,male,Software Development,Full-Stack Developer,Bachelor,Meets,Odisha,Rourkela,Hyderabad,16-01-2022,21-11-1973,,No,2605737,3757529.7019056748
SM - 02196,Gaurav,Moghe,male,Sales & Marketing,Brand Strategist,PhD,Meets,Maharashtra,Pune,Pune,20-04-2019,30-04-1990,,No,2215985,3841797.678832124
CS - 02197,Raghunath,Desai,male,Cybersecurity,Security Engineer,Master,Meets,Goa,Margao,Bengaluru,27-02-2022,01-01-1965,,Yes,2349782,3983132.3319955715
DC - 02198,Rabia,Patel,female,Delivery & Client Services,Engagement Manager,PhD,Meets,Telangana,Khammam,Chennai,22-10-2024,28-04-1974,,No,1895158,3488889.063576969
DA - 02199,Shilpa,Alexander,female,Data & Analytics,Data Analyst,Bachelor,Star,Kerala,Kochi,Bengaluru,22-01-2021,16-01-1971,,No,2359044,3273947.93662351
SD - 02200,Ajay,Bajaj,male,Software Development,Full-Stack Developer,Master,Below,Delhi,New Delhi,Pune,31-05-2024,11-09-2002,22-03-2025,No,1964971,2945418.218654887
CS - 02201,Teja,Naidu,male,Cybersecurity,SOC Analyst,Bachelor,Star,Andhra Pradesh,Amaravati,Bengaluru,06-03-2016,16-11-1991,31-03-2018,No,2691300,3567264.279082188
DA - 02202,Avtar,Shergill,male,Data & Analytics,Data Engineer,Master,Meets,Punjab,Jalandhar,New Delhi,08-03-2023,30-10-1993,,No,2348500,3684607.250642928
CD - 02203,Savita,Khemundi,female,Cloud & DevOps,Platform Engineer,Bachelor,Exceeds,Odisha,Rourkela,Pune,17-09-2015,29-01-1974,,No,2449751,3340366.1924999426
SD - 02204,Lata,Sabnis,female,Software Development,Backend Developer,Bachelor,Star,Maharashtra,Nashik,Bengaluru,14-09-2022,23-09-1982,,No,2669998,3564124.0131386113
QA - 02205,Rajesh,Datta,male,Quality Assurance & Testing,QA Engineer,Master,Star,Assam,Silchar,Bhubaneswar,06-08-2022,20-07-1971,,No,1283889,2026119.0801688011
SD - 02206,Poonam,Mehta,female,Software Development,Software Programmer,Bachelor,Meets,Bihar,Patna,Pune,26-05-2017,18-11-1958,,No,592874,869405.536956313
SD - 02207,Ajay,Chaudhary,male,Software Development,React.js Developer,Master,Meets,Jharkhand,Jamshedpur,Bengaluru,20-05-2018,04-05-1964,,No,1984017,3268691.4741826816
QA - 02208,Manoj,Behera,male,Quality Assurance & Testing,Performance Tester,Master,Meets,Odisha,Sambalpur,Hyderabad,29-12-2023,11-09-1973,,No,530445,822506.4672351379
CD - 02209,Sachin,Naik,male,Cloud & DevOps,Cloud Engineer,Master,Meets,Maharashtra,Pune,Bhubaneswar,20-08-2017,18-08-1983,,No,2406370,3775755.9052236564
AI - 02210,Archana,Kulkarni,female,AI & Machine Learning,ML Engineer,Bachelor,Meets,Maharashtra,Nagpur,Bengaluru,22-11-2019,08-05-1982,,No,661194,880119.3165206165
CD - 02211,Usha,Pujari,female,Cloud & DevOps,Platform Engineer,Master,Meets,Odisha,Bhubaneswar,Hyderabad,12-08-2023,14-03-1979,,No,1085364,1765108.4724135576
DB - 02212,Zeeshan,Ansari,male,Databases,Data Governance Specialist,Bachelor,Meets,Telangana,Khammam,Kolkata,25-06-2018,13-06-1981,,No,703522,929981.5085105709
QA - 02213,Dipali,Deshpande,female,Quality Assurance & Testing,Automation Tester,Master,Meets,Maharashtra,Mumbai,Pune,05-04-2017,25-06-1970,,Yes,1567048,2565424.3501938204
DC - 02214,Prakash,Rawat,male,Delivery & Client Services,Service Delivery Lead,Master,Partial,Chhattisgarh,Bhilai,Hyderabad,20-11-2018,07-01-1997,,No,1431336,2208308.472235008
SD - 02215,Tanima,Bagchi,female,Software Development,Angular Developer,Master,Meets,West Bengal,Kharagpur,Kolkata,20-05-2024,28-08-1970,,No,515817,857565.7224460463
SD - 02216,Bhupesh,Kumhar,male,Software Development,React.js Developer,Master,Exceeds,Chhattisgarh,Raipur,Hyderabad,08-04-2019,26-01-1974,,No,2447662,4122924.4807393947
SD - 02217,Sumit,Bajaj,male,Software Development,Angular Developer,Bachelor,Meets,Delhi,New Delhi,Bengaluru,08-07-2022,06-07-1980,,No,2404916,3329486.609621785
SM - 02218,Ajay,Tripathi,male,Sales & Marketing,Pre-Sales Consultant,Master,Partial,Madhya Pradesh,Bhopal,Kolkata,17-02-2021,16-12-1988,,No,2351152,3648506.3291546414
AI - 02219,Kailash,Gokhale,male,AI & Machine Learning,Deep Learning Engineer,PhD,Meets,Maharashtra,Mumbai,Hyderabad,07-07-2021,06-10-1966,05-03-2022,Yes,1517725,2872371.177901119
SD - 02220,Anil,Bohra,male,Software Development,Angular Developer,Bachelor,Star,Uttarakhand,Haridwar,New Delhi,07-02-2023,23-11-1976,09-12-2023,No,1484510,2110274.1430628314
HR - 02221,Meena,Jayaram,female,HR & People Ops,HRBP (Business Partner),PhD,Partial,Tamilnadu,Tiruchirappalli,Bengaluru,24-02-2022,01-07-1960,,No,783756,1511050.1346455377
DB - 02222,Lalruatkima,Ralte,male,Databases,Database Reliability Engineer,Master,Meets,Mizoram,Lunglei,Bengaluru,15-11-2021,27-06-1970,,No,2081373,3510536.2595826723
